Annotation_source,taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species,Animal_pathogen,Plant_pathogen,pathogen_type
gtdb_bac_meta-lsu_silva_23s_taxonomy,Zhihengliuella sp. ISTPL4,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,Zhihengliuella sp. ISTPL4,NA,NA,NA
microbe-directory,Mycobacterium intracellulare,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium intracellulare,1,0,1
microbe-directory,Bifidobacterium catenulatum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium catenulatum,0,0,NA
microbe-directory,Gemmatimonas aurantiaca,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas aurantiaca,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Curvibacter sp. AEP1-3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter sp. AEP1-3,,NA,NA,NA
microbe-directory,Methanothermococcus okinawensis,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,Methanothermococcus okinawensis,0,0,NA
microbe-directory,Gordonia bronchialis,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Gordoniaceae,Gordonia,Gordonia bronchialis,0,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Sphingomonas sp. MM-1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. MM-1,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Frankia torreyi,Bacteria,Actinobacteria,Actinomycetia,Frankiales,Frankiaceae,Frankia,Frankia torreyi,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Faecalibaculum rodentium,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,Faecalibaculum rodentium,NA,NA,NA
microbe-directory,Burkholderia ubonensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia ubonensis,NA,1,2
gtdb_bac_meta-ncbi_taxonomy,Staphylococcus agnetis,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus agnetis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Shewanella algae,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Gammaproteobacteria bacterium ESL0073,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Gammaproteobacteria bacterium ESL0073,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Thioploca ingrica,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thioploca,Thioploca ingrica,NA,NA,NA
microbe-directory,Thermosphaera aggregans,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermosphaera,Thermosphaera aggregans,NA,NA,NA
gtdb_ar_meta-ssu_silva_taxonomy,Haloarcula sp. CBA1115,Archaea,Halobacterota,Halobacteria,Halobacterales,Halomicrobiaceae,Haloarcula,Haloarcula sp. CBA1115,NA,NA,NA
microbe-directory,Ehrlichia canis,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia canis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Pyruvatibacter mobilis,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Parvibaculaceae,Pyruvatibacter,Pyruvatibacter mobilis,NA,NA,NA
microbe-directory,Xanthomonas oryzae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas oryzae,0,NA,NA
microbe-directory,Bacillus cellulosilyticus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cellulosilyticus,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Actinoalloteichus fjordicus,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus fjordicus,NA,NA,NA
microbe-directory,Carnobacterium maltaromaticum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium maltaromaticum,1,0,1
gtdb_bac_meta-ncbi_taxonomy,Microbacterium aurum,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium aurum,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Candidatus Arthromitus sp. SFB-mouse-NL,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Candidatus Arthromitus,Candidatus Arthromitus sp. SFB-mouse-NL,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Caloranaerobacter azorensis,Bacteria,Firmicutes,Clostridia,Eubacteriales,Thermohalobacteraceae,Caloranaerobacter,Caloranaerobacter azorensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Christensenella minuta,Bacteria,Firmicutes,Clostridia,Eubacteriales,Christensenellaceae,Christensenella,Christensenella minuta,NA,NA,NA
microbe-directory,Archaeoglobus profundus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus profundus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Psychrobacter urativorans,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter urativorans,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces lunaelactis,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces lunaelactis,NA,NA,NA
gtdb_ar_meta-ssu_silva_taxonomy,Halorientalis sp. IM1011,Archaea,Halobacterota,Halobacteria,Halobacterales,Halomicrobiaceae,Halorientalis,Halorientalis sp. IM1011,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Neisseriaceae bacterium DSM 100970,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,uncultured,Neisseriaceae bacterium DSM 100970,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces phaeochromogenes,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces phaeochromogenes,NA,NA,NA
microbe-directory,Owenweeksia hongkongensis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Owenweeksia,Owenweeksia hongkongensis,0,0,NA
gtdb_ar_meta-ncbi_taxonomy,Thermococcus radiotolerans,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus radiotolerans,NA,NA,NA
microbe-directory,Cylindrospermum stagnale,Bacteria,Cyanobacteria,Cyanobacteria noname,Nostocales,Nostocaceae,Cylindrospermum,Cylindrospermum stagnale,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Comamonas thiooxydans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas thiooxydans,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Cellvibrio sp. PSBB023,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Cellvibrio,Cellvibrio sp. PSBB023,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Sphingopyxis granuli,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis granuli,NA,NA,NA
microbe-directory,Candidatus Koribacter versatilis,Bacteria,Acidobacteria,Acidobacteria noname,Acidobacteria noname,Acidobacteria noname,Candidatus Koribacter,Candidatus Koribacter versatilis,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Aerosticca soli,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Aerosticca,Aerosticca soli,NA,NA,NA
microbe-directory,Haloferax volcanii,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax,Haloferax volcanii,0,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Jannaschia sp. CCS1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Jannaschia,Jannaschia sp. CCS1,NA,NA,NA
microbe-directory,Serinicoccus profundi,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Serinicoccus,Serinicoccus profundi,0,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Citrobacter sp. CRE-46,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter sp. CRE-46,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Vibrio aphrogenes,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio aphrogenes,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces ambofaciens,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces ambofaciens,NA,NA,NA
microbe-directory,Bdellovibrio exovorus,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,Bdellovibrio exovorus,0,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Halomonas sp. hl-4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,Halomonas sp. hl-4,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Desulfofarcimen acetoxidans,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptococcaceae,Desulfofarcimen,Desulfofarcimen acetoxidans,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Gordonia insulae,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia insulae,NA,NA,NA
microbe-directory,Campylobacter ureolyticus,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter ureolyticus,1,0,1
gtdb_bac_meta-ncbi_taxonomy,Butyrivibrio hungatei,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Pseudomonas sp. LPH1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. LPH1,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Hydrogenophaga sp. PBC,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga sp. PBC,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Clostridium estertheticum,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium estertheticum,NA,NA,NA
gtdb_ar_meta-ncbi_taxonomy,Methanosarcina horonobensis,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina horonobensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Spiroplasma helicoides,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma helicoides,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Acinetobacter sp. TTH0-4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp. TTH0-4,NA,NA,NA
microbe-directory,Streptomyces clavuligerus,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces clavuligerus,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Paracoccus jeotgali,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus jeotgali,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Micropruina glycogenica,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Micropruina,Micropruina glycogenica,NA,NA,NA
microbe-directory,African swine fever virus,Viruses,Viruses noname,Viruses noname,Viruses noname,Asfarviridae,Asfivirus,African swine fever virus,1,0,1
gtdb_bac_meta-ssu_silva_taxonomy,Mycobacterium sp. YC-RL4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. YC-RL4,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Youhaiella tibetensis,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Youhaiella,Youhaiella tibetensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Pediococcus inopinatus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus inopinatus,NA,NA,NA
microbe-directory,Chitinophaga pinensis,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriales noname,Chitinophaga,Chitinophaga pinensis,0,0,NA
microbe-directory,Marichromatium purpuratum,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Marichromatium,Marichromatium purpuratum,NA,NA,NA
microbe-directory,Hyposoter fugitivus ichnovirus,Viruses,Viruses noname,Viruses noname,Viruses noname,Polydnaviridae,Ichnovirus,Hyposoter fugitivus ichnovirus,1,0,1
gtdb_bac_meta-ncbi_taxonomy,Mycoplasma columborale,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasmopsis,Mycoplasma columborale,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Pseudomonas knackmussii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas knackmussii,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Brucella sp. 09RB8910,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Brucella,Brucella sp. 09RB8910,NA,NA,NA
microbe-directory,Mycoplasma mycoides,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma mycoides,1,0,1
microbe-directory,Nocardia farcinica,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,Nocardia farcinica,NA,0,NA
microbe-directory,Streptococcus infantis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus infantis,1,NA,1
gtdb_ar_meta-ncbi_taxonomy,Methanobacterium lacus,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium lacus,NA,NA,NA
microbe-directory,Shewanella benthica,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella benthica,NA,NA,NA
microbe-directory,Mycoplasma haemocanis,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma haemocanis,NA,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Orbus sp. IPMB12,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Gilliamella,Orbus sp. IPMB12,NA,NA,NA
microbe-directory,Lactobacillus fructivorans,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus fructivorans,NA,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Alloactinosynnema sp. L-07,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Alloactinosynnema,Alloactinosynnema sp. L-07,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Sulfobacillus thermotolerans,Bacteria,Firmicutes,Clostridia,Eubacteriales,,Sulfobacillus,Sulfobacillus thermotolerans,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Dialister massiliensis,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister massiliensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces asterosporus,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces asterosporus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Pantoea rwandensis,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea rwandensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Saccharothrix syringae,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Saccharothrix,Saccharothrix syringae,NA,NA,NA
microbe-directory,Cyanobacterium aponinum,Bacteria,Cyanobacteria,Cyanobacteria noname,Chroococcales,Chroococcales noname,Cyanobacterium,Cyanobacterium aponinum,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Succinivibrio dextrinosolvens,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Pseudomonas sp. NC02,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. NC02,NA,NA,NA
gtdb_ar_meta-ncbi_taxonomy,Candidatus Nitrosopelagicus brevis,Archaea,Thaumarchaeota,,,,Candidatus Nitrosopelagicus,Candidatus Nitrosopelagicus brevis,NA,NA,NA
microbe-directory,Brachyspira intermedia,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Brachyspiraceae,Brachyspira,Brachyspira intermedia,1,0,1
gtdb_bac_meta-ncbi_taxonomy,Collimonas arenae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,Collimonas arenae,NA,NA,NA
microbe-directory,Paramecium bursaria Chlorella virus NY2A,Viruses,Viruses noname,Viruses noname,Viruses noname,Phycodnaviridae,Chlorovirus,Paramecium bursaria Chlorella virus NY2A,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,endosymbiont 'TC1' of Trimyema compressum,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,TC1,endosymbiont 'TC1' of Trimyema compressum,,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Deinococcus swuensis,Bacteria,Deinococcus Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus swuensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Archangium gephyra,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium gephyra,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Sphingopyxis macrogoltabida,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis macrogoltabida,NA,NA,NA
microbe-directory,Methanosarcina barkeri,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,0,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Serratia sp. FGI94,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia sp. FGI94,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Mycolicibacterium phlei,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium phlei,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Erythrobacter sp. KY5,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,Erythrobacter sp. KY5,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Fervidobacterium islandicum,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,Fervidobacterium islandicum,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Candidatus Enterovibrio luxaltus,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Enterovibrio,Candidatus Enterovibrio luxaltus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Kocuria turfanensis,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Kocuria,Kocuria turfanensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Aminobacter aminovorans,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Aminobacter,Aminobacter aminovorans,NA,NA,NA
microbe-directory,Cellulomonas flavigena,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas flavigena,0,0,NA
microbe-directory,Archaeoglobus sulfaticallidus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus sulfaticallidus,NA,NA,NA
microbe-directory,Staphylococcus lugdunensis,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus lugdunensis,NA,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Moraxellaceae bacterium HYN0046,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,Moraxellaceae bacterium HYN0046,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Dehalogenimonas formicexedens,Bacteria,Chloroflexi,Dehalococcoidia,,,Dehalogenimonas,Dehalogenimonas formicexedens,NA,NA,NA
microbe-directory,Rickettsia montanensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia montanensis,1,0,1
microbe-directory,Lawsonia intracellularis,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Lawsonia,Lawsonia intracellularis,1,NA,1
gtdb_bac_meta-ncbi_taxonomy,Swingsia samuiensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Swingsia,Swingsia samuiensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Acidipropionibacterium jensenii,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium jensenii,NA,NA,NA
microbe-directory,Halobacteroides halobius,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halobacteroides,Halobacteroides halobius,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Rhodococcus hoagii,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus hoagii,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Blattabacterium sp. (Blaberus giganteus),Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Blattabacteriaceae,Blattabacterium,Blattabacterium sp. (Blaberus giganteus),NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Aminipila butyrica,Bacteria,Firmicutes,Clostridia,Eubacteriales,,Aminipila,Aminipila butyrica,NA,NA,NA
microbe-directory,Tetrapisispora blattae,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,Tetrapisispora blattae,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Murdochiella vaginalis,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Murdochiella,Murdochiella vaginalis,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Calothrix sp. NIES-4105,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Calothrix,Calothrix sp. NIES-4105,NA,NA,NA
