pangea_barcode,sample_id,project,sample_id2,sample_type,city,country,monument,latitude,longitude,continent
BC-0302366908,BC-0302366908_S6_L002,Monumentome,15,experiment,Baltimore_MD,United States,Orpheus,39.264178,-76.58214,North America
BC-0302366910,BC-0302366910_S5_L002,Monumentome,17,experiment,Baltimore_MD,United States,Orpheus,39.264178,-76.58214,North America
BC-0302366920,BC-0302366920_S8_L002,Monumentome,19,experiment,Baltimore_MD,United States,Orpheus,39.264178,-76.58214,North America
BC-0302366924,BC-0302366924_S20_L002,Monumentome,8,experiment,Baltimore_MD,United States,Orpheus,39.264178,-76.58214,North America
BC-0302366937,BC-0302366937_S3_L002,Monumentome,18,experiment,Baltimore_MD,United States,Orpheus,39.264178,-76.58214,North America
BC-0302366939,BC-0302366939_S12_L002,Monumentome,21,experiment,Baltimore_MD,United States,Orpheus,39.264178,-76.58214,North America
BC-0302366944,BC-0302366944_S14_L002,Monumentome,25,experiment,Baltimore_MD,United States,Orpheus,39.264178,-76.58214,North America
BC-0302366947,BC-0302366947_S11_L002,Monumentome,6,experiment,Baltimore_MD,United States,Orpheus,39.264178,-76.58214,North America
BC-0302366949,BC-0302366949_S22_L002,Monumentome,1,negative_control,Baltimore_MD,United States,Orpheus,39.264178,-76.58214,North America
BC-0302367740,BC-0302367740_S4_L002,Monumentome,14,experiment,Baltimore_MD,United States,Orpheus,39.264178,-76.58214,North America
BC-0302367748,BC-0302367748_S24_L002,Monumentome,4,experiment,Baltimore_MD,United States,Orpheus,39.264178,-76.58214,North America
BC-0302367769,BC-0302367769_S7_L002,Monumentome,20,experiment,Baltimore_MD,United States,Orpheus,39.264178,-76.58214,North America
BC-0302367804,BC-0302367804_S9_L002,Monumentome,13,experiment,Baltimore_MD,United States,Orpheus,39.264178,-76.58214,North America
BC-0302378577,BC-0302378577_S130_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302378772,BC-0302378772_S137_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302378774,BC-0302378774_S126_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302378790,BC-0302378790_S135_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302378812,BC-0302378812_S152_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302378848,BC-0302378848_S139_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302379730,BC-0302379730_S127_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302379745,BC-0302379745_S112_L001,Monumentome,NaN,experiment,New York City,United States,Fearless Girl,40.714132,-74.005777,North America
BC-0302379799,BC-0302379799_S116_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302379819,BC-0302379819_S150_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302380880,BC-0302380880_S85_L002,Monumentome,NaN,experiment,New York City,United States,Fearless Girl,40.714132,-74.005777,North America
BC-0302380920,BC-0302380920_S94_L002,Monumentome,NaN,experiment,New York City,United States,Fearless Girl,40.714132,-74.005777,North America
BC-0302380921,BC-0302380921_S113_L001,Monumentome,NaN,experiment,New York City,United States,Fearless Girl,40.714132,-74.005777,North America
BC-0302380929,BC-0302380929_S151_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302380938,BC-0302380938_S138_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302380959,BC-0302380959_S89_L002,Monumentome,NaN,experiment,New York City,United States,Fearless Girl,40.714132,-74.005777,North America
BC-0302381940,BC-0302381940_S87_L002,Monumentome,NaN,experiment,New York City,United States,Fearless Girl,40.714132,-74.005777,North America
BC-0302381954,BC-0302381954_S122_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302381956,BC-0302381956_S93_L002,Monumentome,NaN,experiment,New York City,United States,Fearless Girl,40.714132,-74.005777,North America
BC-0302381963,BC-0302381963_S90_L002,Monumentome,NaN,experiment,New York City,United States,Fearless Girl,40.714132,-74.005777,North America
BC-0302381978,BC-0302381978_S91_L002,Monumentome,NaN,experiment,New York City,United States,Fearless Girl,40.714132,-74.005777,North America
BC-0302381979,BC-0302381979_S125_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302381986,BC-0302381986_S145_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302381987,BC-0302381987_S119_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302381989,BC-0302381989_S123_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302382120,BC-0302382120_S129_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302382610,BC-0302382610_S117_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302382624,BC-0302382624_S128_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302382628,BC-0302382628_S88_L002,Monumentome,NaN,experiment,New York City,United States,Fearless Girl,40.714132,-74.005777,North America
BC-0302382633,BC-0302382633_S149_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302382675,BC-0302382675_S118_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302382697,BC-0302382697_S141_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302382707,BC-0302382707_S140_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302382710,BC-0302382710_S146_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302382713,BC-0302382713_S115_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302382767,BC-0302382767_S136_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302382779,BC-0302382779_S121_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302382786,BC-0302382786_S86_L002,Monumentome,NaN,experiment,New York City,United States,Fearless Girl,40.714132,-74.005777,North America
BC-0302382801,BC-0302382801_S133_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302382875,BC-0302382875_S148_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302382882,BC-0302382882_S144_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302383758,BC-0302383758_S147_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302385027,BC-0302385027_S154_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302385735,BC-0302385735_S114_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302386355,BC-0302386355_S131_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302386362,BC-0302386362_S132_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302386426,BC-0302386426_S120_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302386434,BC-0302386434_S134_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302387323,BC-0302387323_S124_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302387347,BC-0302387347_S142_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0302389147,BC-0302389147_S143_L001,Monumentome,NaN,experiment,New York City,United States,Charging Bull,40.714132,-74.005777,North America
BC-0306556980,BC-0306556980_S108_L001,Monumentome,NaN,experiment,New York City,United States,Washington Square Park Fountain,40.714132,-74.005777,North America
BC-0306555695,BC-0306555695_S97_L004,Monumentome,NaN,negative_control,Brumadinho,Brazil,Condominio Retiro das Pedras,-20.08806,-43.99278,South America
BC-0247288828,BC-0247288828_S29_L002,Monumentome,2,positive_control,Gettysburg_PA,United States,Gettysburg,39.819801,-77.231198,North America
BC-0247292781,BC-0247292781_S28_L002,Monumentome,3,positive_control,Gettysburg_PA,United States,Gettysburg,39.819801,-77.231198,North America
